,Wedding/Type,Place,Cost/of/Type,Clothes/Bride,Clothes/Groom,Photography,Decor,Decor/Category,Entertainment,Entertainment/Category,Gifts(per/piece),Gifts/Category,Invitations/Cards,Cards/Category
0,Heritage Weddings,Jaipur,7437978,660719,457238,33533,533374,Luxury Package,417797,Celebrity Singers/Dancer,3589,High-Quality,180,Customized Invitations
1,Palace Weddings,Shimla,5777920,379302,316691,134543,496453,Luxury Package,322713,Celebrity Singers/Dancer,4421,Premium Perfumes,500,Boxed
2,Resort Weddings,Shimla,3243944,197374,108820,106831,527908,Luxury Package,414991,Celebrity Singers/Dancer,3185,High-Quality,452,Customized Invitations
3,Cruise Weddings,Alibaug,7064790,164124,115563,21246,411917,Luxury Package,282843,Celebrity Singers/Dancer,3581,High-Quality,744,Boxed
4,////Farmhouse Weddings////,Shimla,2675924,86758,77153,260566,279417,Floral Decor,102517,Professional Singer/Dance,4903,Premium Perfumes,694,Boxed
5,Beach Weddings,Neil Island,3468141,143163,51347,292911,550315,Luxury Package,261453,Celebrity Singers/Dancer,955,Edible,790,Boxed
6,Resort Weddings,////Mussoorie////,2993411,118029,79765,284263,118760,Venue Decor/519830,214719,Professional Singer/Dance,3876,High-Quality,119,Customized Invitations
7,Cruise Weddings,Hyderabad,6757501,114163,82337,293519,241861,Floral Decor,485290,Celebrity Singers/Dancer,1233,Traditional Handicrafts,303,Customized Invitations
8,Palace Weddings,Hyderabad,8985357,464230,283219,248585,73802,Venue Decor/519830,453115,Celebrity Singers/Dancer,3973,High-Quality,499,Customized Invitations
9,Beach Weddings,////Bangaram Island////,1977228,181183,84807,47908,337709,Floral Decor,190962,Professional Singer/Dance,2854,High-Quality,441,Customized Invitations
10,Palace Weddings,Goa,6248080,540629,266969,156962,561788,Luxury Package,195259,Professional Singer/Dance,3833,High-Quality,418,Customized Invitations
11,Resort Weddings,Mumbai,2962431,95274,66994,85644,421720,Luxury Package,191233,Professional Singer/Dance,791,Edible,433,Customized Invitations
12,////Temple Weddings////,////Agatti Island////xc2,51587,22226,11989,86373,372191,Floral Decor,400728,Celebrity Singers/Dancer,2833,High-Quality,83,Traditional Paper
13,Hotel Weddings,Nainital,716901,64438,462792,124732,280449,Floral Decor,391201,Celebrity Singers/Dancer,3275,High-Quality,727,Boxed
14,Cruise Weddings,Bangalore,3878621,169699,74873,206410,305886,Floral Decor,226820,Professional Singer/Dance,3246,High-Quality,343,Customized Invitations
15,Heritage Weddings,Goa,6134530,605090,243736,164963,70082,Venue Decor/519830,45934,Live Band,1661,Traditional Handicrafts,814,Scroll Invitations
16,////Destination Weddings////,Jaipur,4129618,569538,354510,207200,557140,Luxury Package,56201,Live Band,2616,High-Quality,779,Boxed
17,Hotel Weddings,Hyderabad,965322,67628,159100,74883,441580,Luxury Package,260311,Celebrity Singers/Dancer,2674,High-Quality,944,Scroll Invitations
18,Palace Weddings,////Bangaram Island////,5136263,259077,251934,152226,406786,Luxury Package,209964,Professional Singer/Dance,4825,Premium Perfumes,803,Scroll Invitations
19,Cruise Weddings,Varanasi,4573334,160193,136847,24239,335209,Floral Decor,64253,Live Band,3284,High-Quality,911,Scroll Invitations
20,////Temple Weddings////,////Mussoorie////,98797,18941,10931,101638,111236,Venue Decor/519830,368078,Celebrity Singers/Dancer,4743,Premium Perfumes,86,Traditional Paper
21,////Temple Weddings////,New Delhi,54748,26286,8966,100344,395124,Floral Decor,216960,Professional Singer/Dance,855,Edible,469,Customized Invitations
22,////Farmhouse Weddings////,New Delhi,3020315,66923,48551,158107,239672,Floral Decor,389037,Celebrity Singers/Dancer,3021,High-Quality,580,Boxed
23,////Destination Weddings////,Udaipur,4053439,690195,283411,247592,445468,Luxury Package,336773,Celebrity Singers/Dancer,4119,Premium Perfumes,985,Scroll Invitations
24,////Farmhouse Weddings////,Varanasi,2749217,58231,92739,29162,538829,Luxury Package,426276,Celebrity Singers/Dancer,4936,Premium Perfumes,565,Boxed
25,Heritage Weddings,Jaipur,11394803,250303,389080,224637,193815,Venue Decor/519830,22490,DJ/Sangeet,1640,Traditional Handicrafts,493,Customized Invitations
26,////Destination Weddings////,Jaisalmer,4579468,699106,179912,24410,411834,Luxury Package,117068,Professional Singer/Dance,794,Edible,597,Boxed
27,Beach Weddings,Lonavala,2483885,96913,66114,25539,139472,Venue Decor/519830,237508,Professional Singer/Dance,1629,Traditional Handicrafts,98,Traditional Paper
28,////Destination Weddings////,////Rishikesh////xc2,3653033,531893,254866,27874,469245,Luxury Package,87614,Live Band,524,Edible,897,Scroll Invitations
29,Palace Weddings,Goa,7893174,362635,559410,68611,578730,Luxury Package,438606,Celebrity Singers/Dancer,4582,Premium Perfumes,531,Boxed
30,Palace Weddings,Alibaug,5920953,879797,569217,79659,539407,Luxury Package,430820,Celebrity Singers/Dancer,2258,High-Quality,843,Scroll Invitations
31,Beach Weddings,New Delhi,4804547,149065,72697,184232,509421,Luxury Package,385950,Celebrity Singers/Dancer,3273,High-Quality,487,Customized Invitations
32,////Temple Weddings////,Tirupati,95855,28617,9636,231321,588923,Luxury Package,454646,Celebrity Singers/Dancer,4916,Premium Perfumes,600,Boxed
33,Beach Weddings,Nainital,3237876,92796,45597,129438,160787,Venue Decor/519830,227141,Professional Singer/Dance,1324,Traditional Handicrafts,962,Scroll Invitations
34,Palace Weddings,Neil Island,5463770,781706,256973,198741,510909,Luxury Package,453503,Celebrity Singers/Dancer,3668,High-Quality,767,Boxed
35,Hotel Weddings,Neil Island,344413,96548,431874,240190,129270,Venue Decor/519830,279256,Celebrity Singers/Dancer,3838,High-Quality,266,Customized Invitations
36,////Farmhouse Weddings////,Varanasi,2188017,53147,49813,238749,549145,Luxury Package,130097,Professional Singer/Dance,1172,Traditional Handicrafts,681,Boxed
37,////Destination Weddings////,Nainital,4467409,528092,245019,248995,125008,Venue Decor/519830,200907,Professional Singer/Dance,1685,Traditional Handicrafts,903,Scroll Invitations
38,Cruise Weddings,Jaisalmer,6361965,159015,128201,205679,305133,Floral Decor,390039,Celebrity Singers/Dancer,4666,Premium Perfumes,320,Customized Invitations
39,////Destination Weddings////,Nainital,4816090,518787,237022,26179,226817,Floral Decor,328275,Celebrity Singers/Dancer,4891,Premium Perfumes,98,Traditional Paper
40,Resort Weddings,Jaipur,1799828,80883,92320,174809,148772,Venue Decor/519830,269684,Celebrity Singers/Dancer,1644,Traditional Handicrafts,268,Customized Invitations
41,Heritage Weddings,////Agatti Island////xc2,7142225,723520,256960,50615,513083,Luxury Package,487488,Celebrity Singers/Dancer,1327,Traditional Handicrafts,457,Customized Invitations
